"variable","spearman_corr","s_p_value"
"age",0.222953454577267,2e-04
"sysBP",0.194374895327775,2e-04
"prevalentHyp",0.177457560748996,2e-04
"diaBP",0.131501044889098,2e-04
"diabetes",0.0973442355696612,2e-04
"BPMeds",0.090475085992784,2e-04
"male",0.0883735724112584,2e-04
"totChol",0.0821712833164069,2e-04
"BMI",0.0744217594751317,2e-04
"education",-0.0659209131256236,2e-04
"prevalentStroke",0.0618226281817542,4e-04
"glucose",0.0541769419661437,6e-04
"cigsPerDay",0.041496201084277,0.0068
"currentSmoker",0.0194484984781905,0.217
"heartRate",0.0176543941101066,0.252
